EmployeeID,MonthStart,BasePay,Bonus,OvertimePay,Deductions,GrossPay,NetPay
1001,2021-02-01,80750.0,0.0,0,2000,80750.0,78750.0
1001,2021-03-01,80750.0,0.0,0,4000,80750.0,76750.0
1001,2021-04-01,80750.0,0.0,0,2000,80750.0,78750.0
1001,2021-05-01,80750.0,0.0,0,2000,80750.0,78750.0
1001,2021-06-01,80750.0,0.0,0,4000,80750.0,76750.0
1001,2021-07-01,80750.0,0.0,0,4000,80750.0,76750.0
1001,2021-08-01,80750.0,0.0,5000,4000,85750.0,81750.0
1001,2021-09-01,80750.0,0.0,0,2000,80750.0,78750.0
1001,2021-10-01,80750.0,0.0,5000,2000,85750.0,83750.0
1001,2021-11-01,80750.0,0.0,10000,2000,90750.0,88750.0
1001,2021-12-01,80750.0,0.0,0,2000,80750.0,78750.0
1001,2022-01-01,80750.0,0.0,0,2000,80750.0,78750.0
1001,2022-02-01,80750.0,0.0,5000,4000,85750.0,81750.0
1001,2022-03-01,80750.0,6460.0,10000,4000,97210.0,93210.0
1001,2022-04-01,80750.0,0.0,0,4000,80750.0,76750.0
1001,2022-05-01,80750.0,0.0,0,0,80750.0,80750.0
1001,2022-06-01,80750.0,0.0,5000,2000,85750.0,83750.0
1001,2022-07-01,80750.0,0.0,0,0,80750.0,80750.0
1001,2022-08-01,80750.0,0.0,0,6000,80750.0,74750.0
1001,2022-09-01,80750.0,0.0,0,2000,80750.0,78750.0
1001,2022-10-01,80750.0,0.0,0,6000,80750.0,74750.0
1001,2022-11-01,80750.0,0.0,0,2000,80750.0,78750.0
1001,2022-12-01,80750.0,0.0,5000,6000,85750.0,79750.0
1001,2023-01-01,80750.0,0.0,5000,4000,85750.0,81750.0
1001,2023-02-01,80750.0,0.0,0,2000,80750.0,78750.0
1001,2023-03-01,80750.0,0.0,10000,0,90750.0,90750.0
1001,2023-04-01,80750.0,0.0,0,2000,80750.0,78750.0
1001,2023-05-01,80750.0,0.0,0,0,80750.0,80750.0
1001,2023-06-01,80750.0,0.0,15000,2000,95750.0,93750.0
1001,2023-07-01,80750.0,0.0,5000,4000,85750.0,81750.0
1001,2023-08-01,80750.0,0.0,0,0,80750.0,80750.0
1001,2023-09-01,80750.0,0.0,0,4000,80750.0,76750.0
1001,2023-10-01,80750.0,0.0,0,0,80750.0,80750.0
1001,2023-11-01,80750.0,0.0,0,6000,80750.0,74750.0
1001,2023-12-01,80750.0,0.0,10000,4000,90750.0,86750.0
1001,2024-01-01,80750.0,0.0,5000,2000,85750.0,83750.0
1001,2024-02-01,80750.0,0.0,5000,0,85750.0,85750.0
1001,2024-03-01,80750.0,4037.5,5000,0,89787.5,89787.5
1001,2024-04-01,80750.0,0.0,5000,6000,85750.0,79750.0
1001,2024-05-01,80750.0,0.0,0,4000,80750.0,76750.0
1001,2024-06-01,80750.0,0.0,0,2000,80750.0,78750.0
1001,2024-07-01,80750.0,0.0,0,2000,80750.0,78750.0
1001,2024-08-01,80750.0,0.0,10000,4000,90750.0,86750.0
1001,2024-09-01,80750.0,4037.5,0,6000,84787.5,78787.5
